"Mouse Symbol","Mouse ID","Mouse Chr","Homologene ID","Human Symbol","Human ID","Rat Symbol","Rat ID","Drosophila Symbol","Drosophila ID","Zebrafish Symbol","Zebrafish ID","Yeast Symbol","Yeast ID",COSMIC,CGC,Study,"PubMed ID","Predicted Effect","CIS Address","Relative Rank","Cancer Type",Studies
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Bard-Chapeau 2014-01",24316982,"Not Determined",19:32757576-32826160,A,"Liver Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Been 2014-01",24827933,Loss,19:32781300-32831300,B,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Berquam Vrieze 2011-02",21828136,Loss,19:32770143-32808349,B,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Collier 2009-01",19843846,"Not Determined",19:32545778-32819585,A,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Friedel 2013-01",23940809,"Not Determined",19:32757497-32826160,"Not Ranked",Mixed,31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Genovesi 2013-01",24167280,"Not Determined",19:32757576-32826160,B,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Koso 2012-01",23045694,"Not Determined",19:32757497-32826160,D,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Koso 2012-02",23045694,"Not Determined",19:32757497-32826160,B,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Koudijis 2011-01",21852388,"Not Determined",19:32742511-32853511,A,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Lastowska 2013-01",24252690,Loss,19:32768903-32819065,C,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Mann 2012-01",22421440,Loss,19:32796679-32796679,A,"Pancreatic Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"March 2011-01",22057237,"Not Determined",19:32703995-32835261,A,"Colorectal Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Perez Mancera 2012-01",22699621,"Not Determined",19:32798112-32798112,A,"Pancreatic Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Perez Mancera 2012-02",22699621,"Not Determined",19:32804883-32804883,A,"Pancreatic Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Perna 2015-01",25624498,"Not Determined",19:32796128-32796128,A,"Skin Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Quintana 2012-01",22832494,"Not Determined",19:32757497-32826160,D,"Skin Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Rad 2010-01",20947725,"Not Determined",19:32728171-32850024,A,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Rahrmann 2013-01",23685747,"Not Determined",19:32757497-32826160,B,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Rahrmann 2013-02",23685747,"Not Determined",19:32757497-32826160,B,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Rahrmann 2013-03",23685747,Loss,19:32757497-32826160,A,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Rahrmann 2013-04",23685747,Loss,19:32757497-32826160,A,"Nervous System Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Starr 2009-01",19251594,"Not Determined",19:32761053-32807670,D,"Colorectal Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Takeda 2015-01",25559195,"Not Determined",19:32786779-32813811,C,"Colorectal Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Takeda 2015-02",25559195,"Not Determined",19:32766450-32817682,A,"Colorectal Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Takeda 2015-03",25559195,"Not Determined",19:32773413-32827449,A,"Colorectal Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Van der Weyden 2012-01",22553910,"Not Determined",19:32757497-32826160,"Not Ranked","Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Van der Weyden 2012-02",22553910,"Not Determined",19:32757497-32826160,"Not Ranked","Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Van der Weyden 2013-01",22370638,"Not Determined",19:32758460-32813348,C,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Van der Weyden 2013-02",22370638,"Not Determined",19:32748860-32829971,A,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Wong 2014-01",24316979,"Not Determined",19:32800978-32800978,A,"Blood Cancer",31
Pten,19211,19,265,PTEN,5728,Pten,50557,Pten,43991,ptenb,368415,,,Yes,Yes,"Wu 2012-02",22343890,"Not Determined",19:32757497-32826160,"Not Ranked","Nervous System Cancer",31
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Bard-Chapeau 2014-01",24316982,"Not Determined",16:4084047-4213404,A,"Liver Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Berquam Vrieze 2011-01",21828136,Loss,16:4101030-4203418,C,"Blood Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Berquam Vrieze 2011-02",21828136,"Not Determined",16:4107355-4203957,D,"Blood Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Berquam Vrieze 2011-03",21828136,"Not Determined",16:4106536-4143633,C,"Blood Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Genovesi 2013-01",24167280,"Not Determined",16:4084047-4213404,A,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Keng 2013-01",22899566,"Not Determined",16:4126000-4210000,C,"Liver Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Koso 2012-01",23045694,"Not Determined",16:4084048-4213404,C,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Lastowska 2013-01",24252690,Loss,16:4095161-4132278,B,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Mann 2012-01",22421440,Loss,16:4131577-4131577,D,"Pancreatic Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"March 2011-01",22057237,"Not Determined",16:4120210-4201562,C,"Colorectal Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Perez Mancera 2012-01",22699621,"Not Determined",16:4169226-4169226,B,"Pancreatic Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Perez Mancera 2012-02",22699621,"Not Determined",16:4170344-4170344,B,"Pancreatic Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Quintana 2012-01",22832494,"Not Determined",16:4084048-4213404,D,"Skin Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Rahrmann 2013-01",23685747,"Not Determined",16:4084048-4213404,B,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Rahrmann 2013-02",23685747,"Not Determined",16:4084048-4213404,A,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Rahrmann 2013-03",23685747,Loss,16:4084048-4213404,B,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Rahrmann 2013-04",23685747,Loss,16:4084048-4213404,A,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Takeda 2015-01",25559195,"Not Determined",16:4193259-4204869,D,"Colorectal Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Takeda 2015-02",25559195,"Not Determined",16:4129767-4193633,C,"Colorectal Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Takeda 2015-03",25559195,"Not Determined",16:4173289-4205225,C,"Colorectal Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Tang 2013-02",23533276,"Not Determined",16:4084048-4213404,B,"Blood Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Van der Weyden 2013-02",22370638,"Not Determined",16:4134687-4160691,D,"Blood Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Vyazunova 2014-01",25423036,"Not Determined",16:4193545-4205095,C,"Nervous System Cancer",24
Crebbp,12914,16,68393,CREBBP,1387,Crebbp,54244,,,"LOC101884291 crebbpb crebbpa","101884291 567111 566841",,,Yes,Yes,"Wong 2014-01",24316979,"Not Determined",16:4117278-4117278,A,"Blood Cancer",24
