ENTREZ_GENE_ID	Name	Species
63897	HEAT repeat containing 6	Homo sapiens
3642	insulinoma-associated 1	Homo sapiens
26057	ankyrin repeat domain 17	Homo sapiens
55295	kelch-like 26 (Drosophila)	Homo sapiens
10845	ClpX caseinolytic peptidase X homolog (E. coli)	Homo sapiens
84942	WD repeat domain 73	Homo sapiens
10081	programmed cell death 7	Homo sapiens
3772	potassium inwardly-rectifying channel, subfamily J, member 15	Homo sapiens
79626	tumor necrosis factor, alpha-induced protein 8-like 2	Homo sapiens
23277	KIAA0664	Homo sapiens
89853	family with sequence similarity 125, member B	Homo sapiens
79892	chromosome 10 open reading frame 119	Homo sapiens
2321	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	Homo sapiens
729920	notch1-induced protein	Homo sapiens
94134	Rho GTPase activating protein 12	Homo sapiens
23394	activity-dependent neuroprotector homeobox	Homo sapiens
9282	mediator complex subunit 14	Homo sapiens
5394	exosome component 10	Homo sapiens
147746	homeodomain interacting protein kinase 4	Homo sapiens
55252	additional sex combs like 2 (Drosophila)	Homo sapiens
100	adenosine deaminase	Homo sapiens
9778	KIAA0232	Homo sapiens
84530	KIAA1853	Homo sapiens
9570	golgi SNAP receptor complex member 2	Homo sapiens
259230	sphingomyelin synthase 1	Homo sapiens
128866	chromatin modifying protein 4B	Homo sapiens
64215	DnaJ (Hsp40) homolog, subfamily C, member 1	Homo sapiens
2734	golgi apparatus protein 1	Homo sapiens
10533	ATG7 autophagy related 7 homolog (S. cerevisiae)	Homo sapiens
388585	hairy and enhancer of split 5 (Drosophila)	Homo sapiens
5734	prostaglandin E receptor 4 (subtype EP4)	Homo sapiens
27303	RNA binding motif, single stranded interacting protein	Homo sapiens
201799	transmembrane protein 154	Homo sapiens
6575	solute carrier family 20 (phosphate transporter), member 2	Homo sapiens
84708	ligand of numb-protein X 1	Homo sapiens
58511	deoxyribonuclease II beta	Homo sapiens
91608	RAS-like, family 10, member B	Homo sapiens
8909	26 serine protease	Homo sapiens
254225	ring finger protein 169	Homo sapiens
80853	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)	Homo sapiens
84181	chromodomain helicase DNA binding protein 6	Homo sapiens
79720	vacuolar protein sorting 37 homolog B (S. cerevisiae)	Homo sapiens
26065	LSM14A, SCD6 homolog A (S. cerevisiae)	Homo sapiens
55119	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	Homo sapiens
10320	IKAROS family zinc finger 1 (Ikaros)	Homo sapiens
154743	chromosome 7 open reading frame 60	Homo sapiens
375190	chromosome 2 open reading frame 84; hypothetical protein LOC375190	Homo sapiens
55327	lin-7 homolog C (C. elegans)	Homo sapiens
57185	NIPA-like domain containing 3	Homo sapiens
27333	golgi integral membrane protein 4	Homo sapiens
9493	kinesin family member 23	Homo sapiens
22836	Rho-related BTB domain containing 3	Homo sapiens
5339	similar to Plectin 1 (PLTN) (PCN) (Hemidesmosomal protein 1) (HD1); plectin 1, intermediate filament binding protein 500kDa	Homo sapiens
79823	chromosome 2 open reading frame 34	Homo sapiens
57215	THAP domain containing 11	Homo sapiens
10449	hypothetical LOC648603; acetyl-Coenzyme A acyltransferase 2	Homo sapiens
9230	RAB11B, member RAS oncogene family	Homo sapiens
9480	one cut homeobox 2	Homo sapiens
55795	PCI domain containing 2	Homo sapiens
26115	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	Homo sapiens
84649	diacylglycerol O-acyltransferase homolog 2 (mouse)	Homo sapiens
